Date,Ticker,Close,High,Low,Open,Volume,Daily_Return
2023-01-03,AAPL,123.47061157226562,129.22605213593528,122.58211921528644,128.6139854814398,112117500,
2023-01-03,AMZN,85.81999969482422,86.95999908447266,84.20999908447266,85.45999908447266,76706000,
2023-01-03,GOOGL,88.58869934082031,90.50719363495864,87.99227027137619,89.05589098881593,28131200,
2023-01-03,GS,324.4134216308594,326.643522505474,321.2181961906819,323.73876950572753,1589700,
2023-01-03,JPM,126.70983123779297,128.22900862649428,125.55639313320665,126.82237190561631,11054800,
2023-01-03,MSFT,234.80894470214844,240.85607195731004,232.6723500003931,238.23924481140818,25740000,
2023-01-03,NFLX,294.95001220703125,298.3900146484375,288.70001220703125,298.05999755859375,6764000,
2023-01-03,NVDA,14.303279876708984,14.983723050318702,14.084459309432459,14.838841304566728,401277000,
2023-01-03,TSLA,108.0999984741211,118.80000305175781,104.63999938964844,118.47000122070312,231402800,
2023-01-03,WMT,46.34946823120117,46.38496920021686,45.86208805663622,46.010559750485506,17249700,
2023-01-04,AAPL,124.74412536621094,127.01471627825023,123.48049504473303,125.26734659008874,89113600,0.010314307005760082
2023-01-04,AMZN,85.13999938964844,86.9800033569336,83.36000061035156,86.55000305175781,68885100,-0.007923564525679994
2023-01-04,GOOGL,87.5549087524414,90.10958727306334,86.74973244852455,89.81137270362576,34854800,-0.011669553747501005
2023-01-04,GS,325.8002014160156,328.2457973992726,323.34519753464247,326.1094038547107,1881000,0.004274729997867377
2023-01-04,JPM,127.89143371582031,129.11050760277828,127.13185206626778,127.52570868792277,11687600,0.009325262818872027
2023-01-04,MSFT,224.5376434326172,228.232555812996,221.46017488373835,227.65430882995585,50623400,-0.04374322827676025
2023-01-04,NFLX,309.4100036621094,311.1400146484375,295.510009765625,298.239990234375,9345100,0.04902522751864935
2023-01-04,NVDA,14.736923217773438,14.840838154777497,14.229339743985019,14.555073030909787,431324000,0.03031775542409565
2023-01-04,TSLA,113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000,0.05124885285593783
2023-01-04,WMT,46.40109634399414,46.494700531122334,45.855620446043424,46.29135770718456,13338300,0.0011138879206862295
2023-01-05,AAPL,123.4212417602539,126.13607477860468,123.16457206143644,125.50425969688034,80962700,-0.0106047767946863
2023-01-05,AMZN,83.12000274658203,85.41999816894531,83.06999969482422,85.33000183105469,67930800,-0.023725589118479662
2023-01-05,GOOGL,85.68611145019531,87.04794685839362,85.38790446521591,86.94854453006714,27194400,-0.021344289302271502
2023-01-05,GS,322.10833740234375,323.40142288576845,318.71634713158227,322.5674656757154,1397800,-0.011331681188734843
2023-01-05,JPM,127.86309051513672,128.2031776119314,126.30435198201705,128.1559404900649,8381300,-0.0002216192270279027
2023-01-05,MSFT,217.88284301757812,223.01849731480513,217.3437929078153,222.67546134815953,39585600,-0.029637793972110305
2023-01-05,NFLX,309.70001220703125,314.17999267578125,304.54998779296875,307.0,8328400,0.0009372953087791736
2023-01-05,NVDA,14.25332260131836,14.552077617819347,14.136417801544157,14.47913742347032,389168000,-0.032815575497593175
2023-01-05,TSLA,110.33999633789062,111.75,107.16000366210938,110.51000213623047,157986300,-0.029039097760312105
2023-01-05,WMT,46.24294662475586,46.52052345121836,46.04282845999534,46.30427083560833,13274400,-0.0034083185894109302
2023-01-06,AAPL,127.96241760253906,128.62384785031838,123.29290895151365,124.3985891287467,87754700,0.03679411888519479
2023-01-06,AMZN,86.08000183105469,86.4000015258789,81.43000030517578,83.02999877929688,83303400,0.035611152390083056
2023-01-06,GOOGL,86.81930541992188,87.16722490783211,84.35409457108759,86.27258888046856,41381500,0.013224943349019025
2023-01-06,GS,326.1562805175781,327.01834719532945,319.4753852956182,325.4254097106439,3097800,0.012567023715930992
2023-01-06,JPM,130.309814453125,130.72547804224902,127.05065500530455,128.59993739174718,10029100,0.019135498196789058
2023-01-06,MSFT,220.45069885253906,221.26417188709627,214.9818330743018,218.55914037652232,43613600,0.011785488932479993
2023-01-06,NFLX,315.54998779296875,316.7699890136719,303.69000244140625,311.57000732421875,8959800,0.018889168083167096
2023-01-06,NVDA,14.84683609008789,14.997712498886653,14.022511655556116,14.462151036341861,405044000,0.041640360312523494
2023-01-06,TSLA,113.05999755859375,114.38999938964844,101.80999755859375,103.0,220911100,0.024651090365942707
2023-01-06,WMT,47.37586212158203,47.62439473194123,46.556033992992724,46.67222937858319,21231900,0.02449920646319015
2023-01-09,AAPL,128.4856414794922,131.70396238313268,128.22897177101316,128.80155656407595,70790800,0.004088887086975079
2023-01-09,AMZN,87.36000061035156,89.4800033569336,87.08000183105469,87.45999908447266,65266100,0.01486987397850048
2023-01-09,GOOGL,87.4952621459961,89.51316659567206,87.33621993560529,87.83323916693293,29003900,0.007785788227685053
2023-01-09,GS,330.7663269042969,334.0458797206284,327.48677408796533,329.71687457833974,1989000,0.014134470688110135
2023-01-09,JPM,129.77133178710938,131.19781490032148,129.30844551253918,130.9333043392115,8482300,-0.00413232624323423
2023-01-09,MSFT,222.5970916748047,226.63505551365208,221.9012391016624,221.9404359551807,27369800,0.009736384749233107
2023-01-09,NFLX,315.1700134277344,321.70001220703125,313.2200012207031,316.8299865722656,6766600,-0.001204165361855969
2023-01-09,NVDA,15.615204811096191,16.042853882336043,15.128603078053724,15.271486598821125,504231000,0.05175302780646196
2023-01-09,TSLA,119.7699966430664,123.5199966430664,117.11000061035156,118.95999908447266,190284000,0.059349011404278285
2023-01-09,WMT,46.785194396972656,47.72444993263371,46.736779962861014,47.22738842694195,17756700,-0.012467693423573567
2023-01-10,AAPL,129.0582275390625,129.58144872233615,126.48160347682453,128.5942366688145,63896200,0.004456420600598365
2023-01-10,AMZN,89.87000274658203,90.19000244140625,87.29000091552734,87.56999969482422,67756600,0.028731709234134817
2023-01-10,GOOGL,87.89287567138672,88.1413852775039,85.31831979229013,85.46742707274271,30467800,0.0045444006411130555
2023-01-10,GS,334.8517761230469,334.9829719917349,328.4238648478408,330.42909132907,1610100,0.012351466538285338
2023-01-10,JPM,130.93331909179688,131.04667665511786,129.71466762711188,130.16811229514192,9048700,0.00895411404572588
2023-01-10,MSFT,224.29263305664062,226.70363566114452,222.8028985080936,223.22432820821962,27033900,0.007617086858946909
2023-01-10,NFLX,327.5400085449219,329.3500061035156,311.07000732421875,311.07000732421875,13072300,0.03924864228881919
2023-01-10,NVDA,15.895975112915039,15.94893121673774,15.459332626456098,15.494303818205713,384101000,0.017980571194258888
2023-01-10,TSLA,118.8499984741211,122.76000213623047,114.91999816894531,121.06999969482422,167642500,-0.007681374256751861
2023-01-10,WMT,46.756141662597656,46.94657470552961,46.391413719776516,46.781961213952414,11970600,-0.0006209813756139493
2023-01-11,AAPL,131.78294372558594,131.8026771210122,128.7916923794983,129.57158328133335,69458900,0.021112301311427384
2023-01-11,AMZN,95.08999633789062,95.26000213623047,90.93000030517578,90.93000030517578,103126200,0.058083825879343465
2023-01-11,GOOGL,90.97439575195312,91.05392064821854,88.47936469889615,88.64834941552648,26862000,0.03505995289183139
2023-01-11,GS,341.5233154296875,342.4790606534335,333.7741813102674,336.26664521049696,2127000,0.019923858203425127
2023-01-11,JPM,131.90634155273438,132.01969911456843,130.46097498036636,131.21671127892137,8703700,0.007431435082275062
2023-01-11,MSFT,231.0748291015625,231.2512373640301,226.5076257664419,226.6840340289095,28669300,0.03023815785875228
2023-01-11,NFLX,327.260009765625,328.8800048828125,321.3500061035156,326.5,9579700,-0.0008548536728101297
